"Órgão (Cod)";"Órgão";"UO (Cod)";"UO";"Função (Cod)";"Função";"Subfunção (Cod)";"Subfunção";"GND (Cod)";"GND";"Autorizado";"Pago";"RP Pago"
"20000";"PRESIDENCIA DA REPUBLICA";"20415";"EMPRESA BRASIL DE COMUNICAÇÃO S.A. - EBC";"04";"ADMINISTRACAO";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"195839451";"188207180.75";"908684.72"
"15000";"JUSTICA DO TRABALHO";"15121";"TRIBUNAL REGIONAL DO TRABALHO DA 20A. REGIÃO - SERGIPE";"02";"JUDICIARIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"91371011";"89681492.47";"0"
"14000";"JUSTICA ELEITORAL";"14126";"TRIBUNAL REGIONAL ELEITORAL DE TOCANTINS";"02";"JUDICIARIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"49050464";"49026208.42";"1938509.41"
"74000";"OPERACOES OFICIAIS DE CREDITO";"74906";"RECURSOS SOB SUPERVISÃO DO FUNDO DE TERRAS E DA REFORMA AGRÁRIA/BANCO DA TERRA - MIN. DO DESENV. AGRÁRIO";"21";"ORGANIZACAO AGRARIA";"631";"REFORMA AGRARIA";"5";"INVERSOES FINANCEIRAS";"400000000";"126547204.22";"40000000"
"14000";"JUSTICA ELEITORAL";"14102";"TRIBUNAL REGIONAL ELEITORAL DO ACRE";"02";"JUDICIARIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"35731681";"29020995.92";"148536.75"
"39000";"MINISTERIO DOS TRANSPORTES";"39250";"AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES - ANTT";"26";"TRANSPORTE";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"159086270";"156279206.36";"415174.96"
"34000";"MINISTERIO PUBLICO DA UNIAO";"34101";"MINISTÉRIO PÚBLICO FEDERAL";"03";"ESSENCIAL A JUSTICA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"1460018355";"1441951439.17";"103513.52"
"39000";"MINISTERIO DOS TRANSPORTES";"39101";"MINISTÉRIO DOS TRANSPORTES";"26";"TRANSPORTE";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"146096817";"137394359.79";"864034.87"
"25000";"MINISTERIO DA FAZENDA";"25103";"SECRETARIA DA RECEITA FEDERAL DO BRASIL";"04";"ADMINISTRACAO";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"5765379283";"5577287073.59";"4296.33"
"20000";"PRESIDENCIA DA REPUBLICA";"20214";"AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL - ANAC";"26";"TRANSPORTE";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"226265216";"217393126.22";"0"
"52000";"MINISTERIO DA DEFESA";"52111";"COMANDO DA AERONÁUTICA";"09";"PREVIDENCIA SOCIAL";"272";"PREVIDENCIA DO REGIME ESTATUTARIO";"1";"PESSOAL E ENCARGOS SOCIAIS";"6566526488";"6554625295.68";"0"
"26000";"MINISTERIO DA EDUCACAO";"26284";"FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE";"12";"EDUCACAO";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"5582619";"5335134.64";"0"
"26000";"MINISTERIO DA EDUCACAO";"26261";"UNIVERSIDADE FEDERAL DE ITAJUBÁ";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"3";"OUTRAS DESPESAS CORRENTES";"16897306";"9944189.61";"2801660.84"
"26000";"MINISTERIO DA EDUCACAO";"26420";"INSTITUTO FEDERAL FARROUPILHA";"12";"EDUCACAO";"363";"ENSINO PROFISSIONAL";"4";"INVESTIMENTOS";"16312302";"2410839.14";"7027278.96"
"26000";"MINISTERIO DA EDUCACAO";"26281";"FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE";"12";"EDUCACAO";"306";"ALIMENTACAO E NUTRICAO";"3";"OUTRAS DESPESAS CORRENTES";"7390000";"7349717.8";"0"
"26000";"MINISTERIO DA EDUCACAO";"26260";"UNIVERSIDADE FEDERAL DE ALFENAS";"12";"EDUCACAO";"331";"PROTECAO E BENEFICIOS AO TRABALHADOR";"3";"OUTRAS DESPESAS CORRENTES";"33400";"25101.79";"0"
"26000";"MINISTERIO DA EDUCACAO";"26294";"HOSPITAL DE CLÍNICAS DE PORTO ALEGRE - HCPA";"12";"EDUCACAO";"128";"FORMACAO DE RECURSOS HUMANOS";"3";"OUTRAS DESPESAS CORRENTES";"640000";"479813.21";"10765.51"
"26000";"MINISTERIO DA EDUCACAO";"26258";"UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ";"12";"EDUCACAO";"571";"DESENVOLVIMENTO CIENTIFICO";"3";"OUTRAS DESPESAS CORRENTES";"0";"0";"209914.62"
"26000";"MINISTERIO DA EDUCACAO";"26426";"INSTITUTO FEDERAL DO AMAPÁ";"12";"EDUCACAO";"363";"ENSINO PROFISSIONAL";"4";"INVESTIMENTOS";"17778625";"817468.26";"3247292.55"
"26000";"MINISTERIO DA EDUCACAO";"26251";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"4";"INVESTIMENTOS";"46908790";"2652548.41";"21092424.86"
"26000";"MINISTERIO DA EDUCACAO";"26352";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"4";"INVESTIMENTOS";"112148407";"9468493.3";"40802347.13"
"26000";"MINISTERIO DA EDUCACAO";"26238";"UNIVERSIDADE FEDERAL DE MINAS GERAIS";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"4";"INVESTIMENTOS";"106802049";"28949240.77";"17495895.95"
"26000";"MINISTERIO DA EDUCACAO";"26240";"UNIVERSIDADE FEDERAL DA PARAÍBA";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"1";"PESSOAL E ENCARGOS SOCIAIS";"409521075";"407734642.64";"5368.41"
"26000";"MINISTERIO DA EDUCACAO";"26277";"FUNDAÇÃO UNIVERSIDADE FEDERAL DE OURO PRETO";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"3";"OUTRAS DESPESAS CORRENTES";"41506733";"36874417.38";"7192009.12"
"26000";"MINISTERIO DA EDUCACAO";"26249";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"1";"PESSOAL E ENCARGOS SOCIAIS";"203384554";"203369098.57";"0"
"26000";"MINISTERIO DA EDUCACAO";"26418";"INSTITUTO FEDERAL DE PERNAMBUCO";"12";"EDUCACAO";"363";"ENSINO PROFISSIONAL";"4";"INVESTIMENTOS";"67157054";"5242208.84";"15692783.1"
"26000";"MINISTERIO DA EDUCACAO";"26201";"COLÉGIO PEDRO II";"12";"EDUCACAO";"128";"FORMACAO DE RECURSOS HUMANOS";"3";"OUTRAS DESPESAS CORRENTES";"320000";"315950";"7889"
